,gene_name,Python_coef,aod_coef,coef_diff,Python_intercept,aod_intercept,intercept_diff,Python_phi,aod_phi,phi_diff,Python_NLL,aod_NLL,NLL_diff
0,ZRANB2,0.0482733198946734,0.0477660169891122,0.0005073029055611966,4.217562828252773,4.21806831188653,0.000505483633756576,0.1657452392578127,0.165771703158815,2.646390100230489e-05,930.8548972408338,930.8549072464548,-1.0005620993069897e-05
1,ZNF839,0.9394606357653826,0.92266017245974,0.016800463305642666,1.8191747299315104,1.80148426548287,0.01769046444864042,0.9999999237060546,0.999999888244836,3.546121862818552e-08,68.86096282417861,68.86765824653091,-0.006695422352294145
2,ZNF80,1.15656278295259,1.1567928202886,0.00023003733601001386,2.6478374832835074,2.64790842351514,7.09402316325658e-05,0.6574196636199972,0.657628242520069,0.0002085789000718652,50.943426618159286,50.94342696035209,-3.4219280564684595e-07
3,ZNF692,-0.6239970388893121,-0.624227485458467,0.00023044656915482964,5.638324385530279,5.63836132206384,3.6936533561515716e-05,0.0001562500000001,7.89967104752073e-06,0.00014835032895257926,73.38606486504995,73.386061870535,2.9945149435661733e-06
4,ZNF609,-0.4962223143773661,-0.491732592422418,0.004489721954948067,2.463874499548039,2.46159520021393,0.002279299334109197,0.9999999618530272,0.999999929234084,3.26189432131585e-08,53.46944210857112,53.46947949511896,-3.738654783802531e-05
5,ZNF532,-0.4300201870315877,-0.430178138681107,0.00015795164951931673,0.3864216031473672,0.386370224221176,5.137892619117013e-05,0.6622378540039082,0.662497539436743,0.00025968543283483303,297.3715545024954,297.37155624140604,-1.7389106119480857e-06
6,ZNF420,-0.2114726507229898,-0.211272212666216,0.00020043805677377735,4.361525714669738,4.36132297689914,0.00020273777059820475,0.474469161987306,0.474621942073824,0.00015278008651803399,168.0111330979726,168.01113338376624,-2.857936465261446e-07
7,ZNF215,0.4231380018385788,0.423617682262807,0.00047968042422819046,1.6568587588598973,1.65636685930177,0.00049189955812734,0.4111711114883434,0.411177010349201,5.898860857611599e-06,106.82784991458507,106.82785071423793,-7.996528523790403e-07
8,ZNF106,-0.861854114318011,-0.861384224224722,0.00046989009328890496,5.253693872204496,5.25320584415433,0.0004880280501664558,0.359523681640626,0.359665836883699,0.00014215524307303884,296.27308443571866,296.2730858936503,-1.4579316598428704e-06
9,ZFP30,-0.3008156269322174,-0.300372962049073,0.000442664883144428,3.606839265580535,3.60665826879883,0.00018099678170502287,0.6141889343261736,0.614382106916636,0.0001931725904623649,111.22317032388295,111.2231710833693,-7.594863404847274e-07
