,gene name,Python_coef,Python_intercept,Python_phi,NLL
0,ZRANB2,0.04827331989467347,4.217562828252773,0.16574523925781273,930.8548972408338
1,ZNF839,0.9394606357653826,1.8191747299315104,0.9999999237060546,68.86096282417861
2,ZNF80,1.15656278295259,2.6478374832835074,0.6574196636199972,50.943426618159286
3,ZNF692,-0.6239970388893121,5.638324385530279,0.000156250000000194,73.38606486504995
4,ZNF609,-0.49622231437736614,2.463874499548039,0.9999999618530273,53.469442108571116
5,ZNF532,-0.43002018703158773,0.38642160314736723,0.6622378540039082,297.3715545024954
6,ZNF420,-0.21147265072298982,4.361525714669738,0.47446916198730604,168.0111330979726
7,ZNF215,0.42313800183857886,1.6568587588598973,0.4111711114883434,106.82784991458507
8,ZNF106,-0.861854114318011,5.2536938722044955,0.359523681640626,296.27308443571866
9,ZFP30,-0.3008156269322174,3.606839265580535,0.6141889343261736,111.22317032388297
10,ZFAND6,0.09979759169294958,3.5621510547791475,0.3089786903181493,1452.5020961386313
11,ZFAND2B,-0.10239717644385449,4.134607906160211,0.358379003226758,602.1389544756543
12,ZEB2,0.29965870036449344,1.5863992212672708,0.270478598785401,2312.583161421371
13,ZDHHC2,0.7600351092970377,2.295433671100318,0.9999999237060546,99.84065503160642
14,ZC3H4,0.6066517004726242,2.8378442644191413,0.5777293167114275,71.79558517874841
15,ZBTB7A,0.32880361783951495,0.046317456110669064,0.8338379669189481,718.9786250540224
16,ZBTB18,0.44181949998490827,0.3566701262768233,0.9999999618530273,58.958634622837266
17,YWHAZ,0.1698880932374526,5.085397130965795,0.03354377288818371,2845.845103320393
18,YIF1B,-0.04774450953743935,3.0349533599077345,0.37873939726352795,1501.4949066849429
19,WHRN,0.5731795027476982,1.4327483269044634,0.3173044433593758,442.1624930767577
20,WDR81,0.7686238716998859,1.5040995758984108,0.9999999618530273,87.77678176078568
21,WDR66,0.0312114451761107,3.0445505700624294,0.000156250000000194,15.670464771303331
22,WDR45B,-1.8323920095742896,7.57288301736356,0.6274314143210669,83.49699210127665
23,WDR34,0.05581149611232141,4.822586742933366,0.11181506347656252,176.37925081147444
24,VSIR,0.1850295066163735,6.65860036649532,0.12664838504791268,156.9692852690493
25,VSIG10,0.06688599756746375,1.8311756872939933,0.8507080526232746,225.81225901992337
26,VPS26B,-0.41637028770946627,5.436394630997058,0.4201994634568703,116.78747729030917
27,VPS13D,-1.333404674457366,5.225906928817138,0.4435538330078138,112.43773731150755
28,VNN2,-0.5341465521835218,1.6676976791345057,0.5463882071390764,2180.754419923732
29,VMP1,0.10332268720612084,2.014041836731656,0.23103973388671922,3003.1722719821173
30,VIPR1,-0.19220990167589377,1.8655713367172693,0.8142201309204129,169.1988492171804
31,VAT1,0.06930271803839148,4.47514591758271,0.2879364756345756,176.45392758600627
32,UXS1,0.4714486243859681,3.0859499362355276,0.9999999904632568,137.9538075203401
33,UTRN,-0.30807380668040074,4.185680743432262,0.6145064156651516,692.5865830125656
34,USP7,1.4603700706553981,-1.386275755290399,0.10750000000000001,21.198463238961278
35,USP22,0.026925106548223294,4.695541551679172,0.3555595439672479,304.8887896425609
36,UNC45A,-0.9984294105416367,5.519772169733357,0.5862293395996112,256.16687193684373
37,UBE4B,0.4798690204718232,3.2183803037780248,0.7353982252359413,280.06351732519096
38,UBC,-0.6135233587259799,8.294691912962397,0.019227218627929803,673.0004182871162
39,TXNL1,-0.060901049658441286,4.757476878714149,0.15589455521106738,793.5159750182146
40,TUBA1C,0.2566764907887102,4.212272739680458,0.40802196866955964,917.5714575735516
41,TTYH3,0.38712485133283403,1.9924486308400227,0.9999998474121093,26.29550597427423
42,TTLL12,0.09900545281247575,4.344151361685525,0.601969070434572,65.7313232928803
43,TSPAN4,-1.0970345829897412,1.811876088843658,0.4828361189985266,574.2549429801757
44,TSPAN3,1.0136727277223658,4.069957491791725,0.07360034179687505,872.3905597543138
45,TSN,-0.11003926272381437,6.093267058943954,0.12501947021484383,116.71075935081278
46,TSC22D1-AS1,-1.5739117335132367,1.673983310687977,0.9999999618530273,35.96295064379529
47,TSC22D1,-0.9868992719766543,2.686068429957209,0.8770331555306938,679.2728784906694
48,TRPV3,0.826674506993264,1.8123714949149945,0.9999999618530273,63.53264981197998
49,TRIM41,0.2927655572999143,3.2531171932527663,0.3240598860740671,336.4071541627327
50,TRIM36,1.7578743031343778,0.10535949872647649,0.9999999618530273,39.577158257429204
51,TRIM34,0.25548480990824407,1.675652195392301,0.22460937500000044,1347.1160981635353
52,TRIM16L,-0.22805723249657162,3.6375757698058693,0.9999999237060546,27.00464405008404
53,TRABD2A,-0.03714747708062742,3.0962453286200873,0.5935181932523865,223.07159006293216
54,TPRG1,-3.1648185148203725,3.9120406441648905,0.9999999618530273,22.50432155887945
55,TPRA1,-0.1285636716523908,2.6716235818676326,0.5043839721679703,946.1924693169659
56,TPM1,0.0353806332974947,3.8014095018418246,0.6688647384643575,129.41607840502533
57,TPI1,0.5128305262799966,5.13573358887167,0.01237316894531262,1955.833455138274
58,TNS4,-3.52322865520245,5.081366853254657,0.9999999952316284,80.47244605763011
59,TNPO2,-0.5745951778757916,1.0900448854847367,0.7417823181152368,434.1295320275695
60,TNPO1,-0.0017093225618285638,1.1560892343139413,0.2514263000488286,2809.60954473723
61,TMEM94,-0.16379191533867837,5.771409243074416,0.9999999237060546,19.99193969628557
62,TMEM43,-0.8956251716446206,6.254575564528048,0.30594731690883714,131.57106841127114
63,TMEM202-AS1,0.5775620770533969,0.33427102366699024,0.8334938049316433,279.640196573297
